Project title,Term,Year,Project report link,WPI only?,Sponsor(s),Authors,Co-advisor(s),Topic(s),Categories,Website ,
Feasibility Study of the Venice Project Center,B,1988,https://docs.google.com/document/d/1VY9l-9-meglB66dZCybe2xg5bVbfiokp/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,Venice Project Center,Michael R. Cote; Anthony S. Cucci; David M. George; Richard J. Granfield; Michael J. Kroese; John P. Lankhof,Lance A. Schachterle,Bootstrap,,,6
Future of Science and Technology in Venice,E,1989,https://docs.google.com/document/d/1id5wwYRO_9lSXw4lA0Da3czBlgvvjbGd/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,Serenissima Development and Preservation through Technology Association (SERENdpt),Paolo Cattaneo; Cristiano Luis Succi Pierry; Evan W. Sullivan,Lance A. Schachterle,Technology,,,3
Re-utilization of the Island of Lazzaretto Nuovo,E,1989,https://docs.google.com/document/d/1QQOvdtHYGJaNrsKJTx0OV3r8BsLkGdflr-L-O8qEjSo/edit?usp=sharing,,EKOS Club,Frank L. Davidson; Mary Helen Adair MacLean,Lance A. Schachterle,Lagoon; Islands,,,2
Churches of Venice: A System for Restoration Analysis,E,1990,https://docs.google.com/document/d/1YP8CHCG0m4L3tDwny_C_c7csYwl43w8lObOMbXBs8ko/edit?usp=sharing,,Randolfi Architectural Studio,Luca Bortolami; Luis-Carlos Campo; Carl Frederic Madsen,John F. Zeugner,Art; Churches,,,3
Computer Applications in the Humanities,E,1990,https://docs.google.com/document/d/1kyHVa1bqs5l0AR_OBO9DJGtvYWGlGIqe/edit?usp=sharing&ouid=104817278116150745233&rtpof=true&sd=true,,University of Venice,Surbi Chadha; Tzu-Ching J. Chang; Jaime DelPrado,John F. Zeugner,Technology,,,3
Feasibility Study for the Relocation of the University of Venice to Abandoned Lagoon Islands,D,1990,,,Serenissima Development and Preservation through Technology Association (SERENdpt),Spyro J. Kotsonis; Michael Maglio; Joseph M. Soscia,John F. Zeugner,University of Venice; Lagoon; Islands,,,3
"Hygenic, Dynamic, and Static Study of the Canals of Venice, Italy",C,1990,https://docs.google.com/document/d/18tASHevTgSsazxrS-ukupfU59Au-gjc6JepWIhrw2fo/edit?usp=sharing,,Istituto per lo Studio della Dinamica delle Grandi Masse (ISDGM),Michael Ciacciarelli; Brian M. O'Connor; Barry B. Sylvia; Steven P. Testa,John F. Zeugner,Canals; Hydrodynamics,,,4
Lagoon Archaeology (IQP Award),E,1990,https://docs.google.com/document/d/1Bd4wOd3KQ_HoQEestz3PR-P2241NMkdC7M-8PHeJmh0/edit?usp=sharing,,Soprintendenza per i Beni Ambientali e Architettonici; Equipe Veneziana di Ricerca; Archeoclub of Italy; Soprintendenza all'Archeologia; Idra,Nicola M. McGowan; Reinaldo F. Niella; Pierre Schrappe; Jennifer Smith Strother,John F. Zeugner,Archaeology,,,4
Organic Farming in the Venetian Lagoon,E,1990,https://docs.google.com/document/d/1I78envf50m92QwgwuoGa_WQPTppdnIiCWmQDHf1c0hk/edit?usp=sharing,,Saccagnana Coop,Marco Andreoni; Orhan M. Arsel; Samir Sood,John F. Zeugner,Lagoon; Farming,,,3
Quantifying the Problem of Acid Fog and Acid Rain in Venice,C,1990,https://docs.google.com/document/d/1qVHeU_WkPh4amgCdukDXLlo-u1-Cfewm82huSS-d8XI/edit?usp=sharing,,Laboratorio Scientifico della Soprintendenza ai Beni Artistici e Storici di Venezia,"Patrise G. Puleo Hahn; William R. LaPrade, Jr.; Ryan S. Marcotte",John F. Zeugner,Pollution,Pollution; Architecture,,3
SERENdpt Project,E,1990,https://docs.google.com/document/d/13ZB5XRizjR88TJuHSYnQ54AqmaKkLs1fREItat0Wkqg/edit?usp=sharing,,Serenissima Development and Preservation through Technology Association (SERENdpt),Susan E. Carlson; Alessandro Casagrande; Edward J. Connor; Sean P. Moore; Mark J. Sarmiento,John F. Zeugner,Organizations,,,5
Solar Photovoltaic Applications in Venice,E,1990,https://docs.google.com/document/d/13MRRXt2MAfqoyyGJAjX2dOZ7NdJvAs6c5iFq3OrYZNE/edit?usp=sharing,,,John C. Ahern; Vineet Jain; Brian R. Kraft,Edward Clarke,Solar power,,,3
Study of the Applicability of Pollution Control Technology on the Island of Murano,D,1990,https://docs.google.com/document/d/1Me3iAai1D39w8ICzhkR6lqgrDEsRhujmzcmURrqhIQ8/edit?usp=sharing,,Associazione Artigiani di Venezia,Jennifer Creamer Berglund; Rocco Paduano; Roberto Reyna; Jehan M. Tamboowalla,John F. Zeugner,Pollution; Murano,,,4
"Wetland Management for the Lagoon Park Proposal in Venice, Italy",E,1990,https://docs.google.com/document/d/1rp97Gg_IhAlM_TWEnnIaExLzfsa3qzux6YCnYzQ_hiQ/edit?usp=sharing,,World Wildlife Fund - Venice (WWF),Carmen L. Barillas; Jonathan P. Loveland; Donna M. Roche,John F. Zeugner,Lagoon; Ecosystem,,,3
Archeoclub Inventory,E,1991,,,Archeoclub of Venice,"Sergio Mondlak; William H. Rockford, III; Steven A. Tufts",Lee A. Becker,Public art,,,3
"Interrelations of Weather, Pollution, and Acid Precipitation in Venice and their Effects on Indoor and Outdoor Art",C,1991,https://docs.google.com/document/d/1--r_VFbUHNg3SgPxPbhqfOs78KLadTxSKqaW2VaCyzI/edit?usp=sharing,,Laboratorio Scientifico della Misericordia; Soprintendenza ai Beni Artistici e Storici di Venezia,Michael A. Achim; Nicholas F. DiCamillo; Cheri A. LaFrinea; Melissa L. Paddock,Lee A. Becker,Pollution; Art,,,4
Inventions for Venice,E,1991,,,,Christine A. Easton Dusio; Deborah L. Leslie; Brian J. Malone,Lee A. Becker,Technology,,,3
Lagoon Archaeology II,E,1991,,,Equipe Veneziana di Ricerca,Corien M. Bakermans; Marc K. Davidson; Juliet K. Vescio Spencer,Lee A. Becker,Lagoon; Archaeology,,,3
Museums of Venice (IQP Award),E,1991,https://docs.google.com/document/d/1j7GBYYXojUBQdDUWU8hNlICZvKoCMHkdcX77ZnLf6V8/edit?usp=sharing,,,Berk Eksioglu; Raquel Medina-Bethencourt; Mauricio Molina,Lee A. Becker,Museums,,,3
"Study of Tide Flows, Mud Buildup, Boat Traffic, and Structural Damage on the Cannaregio Canal Subsystem",D,1991,https://docs.google.com/document/d/19z0fpK_2EjHIad7EHeSplR-Ht3zofr7Y0knNjpQCJg8/edit?usp=sharing,,Istituzione Centro Previsioni e Segnalazioni Maree; Istituto per lo Studio della Dinamica delle Grandi Masse (ISDGM),Hernando Carvajal; Manrico Federico; Carlos Gonzalez; Timothy C. Johnson; Jeffrey R. Levesque,Gianpietro Zucchetta,Canals; Sediments; Damage; Wakes,,,5
Venetian Cartography,E,1991,,,,Ricardo J. Behar; Giulio Grandinetti; Donato A. Miranda,Lee A. Becker; John F. Zeugner,GIS,,,3
"Analysis of Structural Damage to the Canal Walls of the Sestiere of Castello, Venice",E,1992,https://docs.google.com/document/d/1lc1FZzFKYH1mkGLntQatoJ1Vb0O0hQr2Q3YeRVYjBCc/edit?usp=sharing,,,"Chad R. Binkerd; Ralph Anthony Maselli, II; Scott H. Stoddard",Lee A. Becker,Canal walls; Damage; Wakes,,,3
"Analysis of Structural Damage to the Canal Walls of Venice, Italy",D,1992,https://docs.google.com/document/d/13rBYi3fsxAHOz2xyNX74AWOSfo8n0j2e3bXa1UWTkHc/edit?usp=sharing,,UNESCO (UVO-ROSTE),Timothy H. Cupples; Garret Trombi; George F. Willwerth,Lee A. Becker,Canals; Damage; Wakes,,,3
Archeoclub Inventory II,E,1992,,,Archeoclub of Venice,Tracy J. Adamski; David M. Giudice; Edward J. Iorio; Lara K. Papesca,Lee A. Becker,Public art,,,4
Documentation and Analysis of Boat Traffic in the Venetian Canals,C,1992,https://docs.google.com/document/d/1w00n6GKblx6RzNGhIjnqoSzkUkavs08vZ_1NCwOZD-U/edit?usp=sharing,,UNESCO (UVO-ROSTE),Jennifer M. Corey Diorio; Sherri L. Curria; Paul F. Ormond,Lee A. Becker,Boat traffic; Canals; Damage; Wakes,,,3
Documentation and Analysis of Boat Traffic in the Venetian Canals,D,1992,https://docs.google.com/document/d/1XqpSxuhsGHoMtn6zgq6ynn-UYtTvy4iaSPXLG-E9esw/edit?usp=sharing,,UNESCO (UVO-ROSTE),Brian N. Card; Matthew F. Flannery; Michael A. R. Kaliski; James M. Sambrook,Lee A. Becker,Boats; Traffic; Canals; Wakes,,,4
Documentation and Analysis of Boat Traffic on the Canals within the Sestiere di Castello di Venezia,E,1992,https://docs.google.com/document/d/1wjLgvAi0EfC74oAtlesCf8yi3GxlFxsjg7ZVqTi4dD8/edit?usp=sharing,,,Mark S. Densmore; Anthony G. Doherty; Michael A. Gallagher,Lee A. Becker,Boats; Traffic,,,3
Geographical Information System for the Canals of Venice,D,1992,,,UNESCO (UVO-ROSTE),John A. Cutonilli; John A. Roy; John B. Thornton,Lee A. Becker,GIS,,,3
"Geographical Information System for Venice, Italy",C,1992,,,UNESCO (UVO-ROSTE),Brian A. Baker; Russell H. Beavis; Beth A. Newton Tubbs,Lee A. Becker,GIS,,,3
Infrared Reflectoscopy: Non-Destructive Analysis of Works of Art,E,1992,https://docs.google.com/document/d/1bxDqPGEct40M3EjumfrVTdtK9ZHeiUIFlVrUL4XLzYA/edit?usp=sharing,,Soprintendenza ai Beni Artistici e Storici di Venezia,John C. Belfonti; Kern S. Corrigan; Cory R. Jobe,Lee A. Becker,Art,,,3
Multimedia Applications in the Study of Canals,E,1992,https://docs.google.com/document/d/1hgI4l00dIWhZ7XYphV2JXb-WA5gzON9JO3LkxORibnk/edit?usp=sharing,,UNESCO (UVO-ROSTE),Gregory P. Bloom; Erwin A. Landivar; Roberto B. Villa,Lee A. Becker,Canals,,,3
"Structural Damage on the Canal Walls of Venice, Italy",C,1992,https://docs.google.com/document/d/13rBYi3fsxAHOz2xyNX74AWOSfo8n0j2e3bXa1UWTkHc/edit?usp=sharing,,UNESCO (UVO-ROSTE),Gregory A. Kirkos; Marc Nicolazzo; Glen V. Zoladz,Lee A. Becker,Canal walls; Damage; Wakes,,,3
Topological and Hydro-Dynamic Study of the Canals in the San Marco Area,D,1992,https://docs.google.com/document/d/1lqxBf6B-pJHnM7Bs6jwuKBT4XsixZupLsDQYg80oc4E/edit?usp=sharing,,UNESCO (UVO-ROSTE),Kristi Henricksen Perry; Danielle L. Luongo Fries; Hollybeth Normandin,Lee A. Becker,Canals; Hydrodynamics; Wakes,,,3
Churches of Venice II: A System for Artistic Restoration Analysis,E,1993,https://docs.google.com/document/d/1YP8CHCG0m4L3tDwny_C_c7csYwl43w8lObOMbXBs8ko/edit?usp=sharing,,Nicola Randolfi; Randolfi Architectural Studio,Brian C. Aldrich; Kevin Shea; David W. Youkstetter,Bland Addison,Churches,,,3
Comprehensive Review of the Worcester Polytechnic Institute Venice Canal Studies,D,1993,https://docs.google.com/document/d/1WNGkxAeRsCj_qUz9NR5yB7kwAb_DpBLfyX0LUsCEBIQ/edit?usp=sharing,,UNESCO (UVO-ROSTE),"Jocelyn A. Bessey Mitchell; Enrico R. Cafaro; Victoria Klun; James B. McElroy, Jr.; Jennifer Shaw Pedro",Bland Addison,Canals,,,5
Computer Applications in Lagoon Archeology,E,1993,,,Archeoclub of Venice,John C. Berry; Gerald D. Ducharme; Charles R. Merry; Brian R. Rapids,Bland Addison,Lagoon archeology,,,4
Creation of A Database Management Program for Cataloging Computer Images Used in the Non-Destructive Analysis of Works of Art,E,1993,,,Soprintendenza ai Beni Artistici e Storici di Venezia,Joel C. Belog; Lourenço W. K. Dantas; Paul E. Hammerstrom,Bland Addison,Art; Restoration,,,3
